date,day,evening
22-09-2020,Tuesday,4655
23-09-2020,Wednesday,0891
24-09-2020,Thursday,1997
25-09-2020,Friday,6264
26-09-2020,Saturday,1795
27-09-2020,Sunday,3644
28-09-2020,Monday,8246
29-09-2020,Tuesday,7501
30-09-2020,Wednesday,4819
01-10-2020,Thursday,2760
02-10-2020,Friday,5463
03-10-2020,Saturday,9006
04-10-2020,Sunday,9715
05-10-2020,Monday,2245
06-10-2020,Tuesday,8073
07-10-2020,Wednesday,2600
08-10-2020,Thursday,7271
09-10-2020,Friday,8569
10-10-2020,Saturday,3182
11-10-2020,Sunday,7552
12-10-2020,Monday,9479
13-10-2020,Tuesday,9004
14-10-2020,Wednesday,1785
15-10-2020,Thursday,3410
16-10-2020,Friday,9631
17-10-2020,Saturday,9343
18-10-2020,Sunday,5922
19-10-2020,Monday,1557
20-10-2020,Tuesday,3155
21-10-2020,Wednesday,7852
22-10-2020,Thursday,3739
23-10-2020,Friday,5977
24-10-2020,Saturday,6214
25-10-2020,Sunday,5706
26-10-2020,Monday,1427
27-10-2020,Tuesday,6856
28-10-2020,Wednesday,6935
29-10-2020,Thursday,7173
30-10-2020,Friday,1804
31-10-2020,Saturday,1773
01-11-2020,Sunday,1712
02-11-2020,Monday,7044
03-11-2020,Tuesday,5713
04-11-2020,Wednesday,6054
05-11-2020,Thursday,5878
06-11-2020,Friday,1708
07-11-2020,Saturday,7529
08-11-2020,Sunday,5431
09-11-2020,Monday,0028
10-11-2020,Tuesday,5719
11-11-2020,Wednesday,0635
12-11-2020,Thursday,0211
13-11-2020,Friday,3534
14-11-2020,Saturday,1086
15-11-2020,Sunday,6222
16-11-2020,Monday,0322
17-11-2020,Tuesday,6762
18-11-2020,Wednesday,5640
19-11-2020,Thursday,2985
20-11-2020,Friday,6242
21-11-2020,Saturday,1364
22-11-2020,Sunday,4371
23-11-2020,Monday,7727
24-11-2020,Tuesday,1444
25-11-2020,Wednesday,1939
26-11-2020,Thursday,3494
27-11-2020,Friday,3342
28-11-2020,Saturday,9945
29-11-2020,Sunday,6982
30-11-2020,Monday,4253
01-12-2020,Tuesday,7413
02-12-2020,Wednesday,7689
03-12-2020,Thursday,7604
04-12-2020,Friday,6004
05-12-2020,Saturday,9762
06-12-2020,Sunday,8624
07-12-2020,Monday,6234
08-12-2020,Tuesday,6405
09-12-2020,Wednesday,8061
10-12-2020,Thursday,7190
11-12-2020,Friday,2128
12-12-2020,Saturday,7797
13-12-2020,Sunday,0012
14-12-2020,Monday,5494
15-12-2020,Tuesday,1177
16-12-2020,Wednesday,0338
17-12-2020,Thursday,1147
18-12-2020,Friday,5384
19-12-2020,Saturday,6354
20-12-2020,Sunday,5253
21-12-2020,Monday,2988
22-12-2020,Tuesday,3925
23-12-2020,Wednesday,8987
24-12-2020,Thursday,9789
25-12-2020,Friday,9096
26-12-2020,Saturday,6558
27-12-2020,Sunday,1492
28-12-2020,Monday,3468
29-12-2020,Tuesday,0699
30-12-2020,Wednesday,3487
31-12-2020,Thursday,9106
